15:19:12:385 [main] INFO  jaxb.CarJAXB - Model: X3
15:19:12:387 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:19:12:387 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:19:12:388 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:19:12:388 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:19:12:388 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:19:12:392 [main] INFO  jaxb.CarJAXB - Car info
15:19:12:392 [main] INFO  jaxb.CarJAXB - Vin: null
15:19:12:392 [main] INFO  jaxb.CarJAXB - Make: null
15:19:12:392 [main] INFO  jaxb.CarJAXB - Model: null
15:19:12:393 [main] INFO  jaxb.CarJAXB - Body type: null
15:19:12:393 [main] INFO  jaxb.CarJAXB - Production year: 0
15:19:12:393 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:19:12:393 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:19:12:393 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:19:12:406 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
15:19:12:406 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
