15:29:56:838 [main] INFO  jaxb.CarJAXB - Model: X3
15:29:56:840 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:29:56:840 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:29:56:841 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:29:56:841 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:29:56:842 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:29:56:846 [main] INFO  jaxb.CarJAXB - Car info
15:29:56:846 [main] INFO  jaxb.CarJAXB - Vin: null
15:29:56:847 [main] INFO  jaxb.CarJAXB - Make: null
15:29:56:848 [main] INFO  jaxb.CarJAXB - Model: null
15:29:56:848 [main] INFO  jaxb.CarJAXB - Body type: null
15:29:56:848 [main] INFO  jaxb.CarJAXB - Production year: 0
15:29:56:848 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:29:56:848 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:29:56:849 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:29:56:860 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
15:29:56:860 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
