16:18:25:186 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Diagnostic mechanic ID: 1
16:18:25:187 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service A ID: 1
16:18:25:187 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Employee ID3
16:18:25:196 [main] INFO  jaxb.CarServiceAJAXB - Car Service B info:
16:18:25:197 [main] INFO  jaxb.CarServiceAJAXB - Car service B ID: 1
16:18:25:197 [main] INFO  jaxb.CarServiceAJAXB - Car ID: 2
16:18:25:197 [main] INFO  jaxb.CarServiceAJAXB - Service type: Gearbox Replacement
16:18:25:204 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
16:18:25:204 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
16:18:25:204 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
16:18:25:205 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
16:18:25:212 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician information:
16:18:25:212 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician ID: 1
16:18:25:212 [main] INFO  jaxb.AutomotiveElectricianJAXB - Car Service B ID: 1
