18:15:05:877 [main] INFO  jaxb.CarJAXB - Body type: SUV
18:15:05:892 [main] INFO  jaxb.CarJAXB - Production year: 2018
18:15:05:892 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
18:15:05:893 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
18:15:05:893 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
18:15:05:898 [main] INFO  jaxb.CarJAXB - Car info
18:15:05:898 [main] INFO  jaxb.CarJAXB - Vin: null
18:15:05:898 [main] INFO  jaxb.CarJAXB - Make: null
18:15:05:898 [main] INFO  jaxb.CarJAXB - Model: null
18:15:05:898 [main] INFO  jaxb.CarJAXB - Body type: null
18:15:05:898 [main] INFO  jaxb.CarJAXB - Production year: 0
18:15:05:899 [main] INFO  jaxb.CarJAXB - Engine capacity: null
18:15:05:899 [main] INFO  jaxb.CarJAXB - Fuel type: null
18:15:05:900 [main] INFO  jaxb.CarJAXB - Exterior color: null
18:15:05:912 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
18:15:05:912 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
18:15:05:913 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
