15:32:10:126 [main] INFO  jaxb.CarJAXB - Model: X3
15:32:10:128 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:32:10:128 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:32:10:129 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:32:10:129 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:32:10:129 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:32:10:134 [main] INFO  jaxb.CarJAXB - Car info
15:32:10:135 [main] INFO  jaxb.CarJAXB - Vin: null
15:32:10:135 [main] INFO  jaxb.CarJAXB - Make: null
15:32:10:135 [main] INFO  jaxb.CarJAXB - Model: null
15:32:10:135 [main] INFO  jaxb.CarJAXB - Body type: null
15:32:10:135 [main] INFO  jaxb.CarJAXB - Production year: 0
15:32:10:136 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:32:10:136 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:32:10:136 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:32:10:149 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
15:32:10:150 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
