16:10:09:798 [main] INFO  jaxb.CarJAXB - Model: X3
16:10:09:800 [main] INFO  jaxb.CarJAXB - Body type: SUV
16:10:09:801 [main] INFO  jaxb.CarJAXB - Production year: 2018
16:10:09:801 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
16:10:09:801 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
16:10:09:802 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
16:10:09:806 [main] INFO  jaxb.CarJAXB - Car info
16:10:09:807 [main] INFO  jaxb.CarJAXB - Vin: null
16:10:09:807 [main] INFO  jaxb.CarJAXB - Make: null
16:10:09:808 [main] INFO  jaxb.CarJAXB - Model: null
16:10:09:808 [main] INFO  jaxb.CarJAXB - Body type: null
16:10:09:808 [main] INFO  jaxb.CarJAXB - Production year: 0
16:10:09:808 [main] INFO  jaxb.CarJAXB - Engine capacity: null
16:10:09:808 [main] INFO  jaxb.CarJAXB - Fuel type: null
16:10:09:809 [main] INFO  jaxb.CarJAXB - Exterior color: null
16:10:09:821 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
16:10:09:822 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
