15:07:21:055 [main] INFO  jaxb.CarJAXB - Make: null
15:07:21:060 [main] INFO  jaxb.CarJAXB - Model: null
15:07:21:060 [main] INFO  jaxb.CarJAXB - Body type: null
15:07:21:060 [main] INFO  jaxb.CarJAXB - Production year: 0
15:07:21:060 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:07:21:061 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:07:21:061 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:07:21:075 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
15:07:21:075 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
15:07:21:075 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
15:07:21:075 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
15:07:21:087 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
15:07:21:098 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
15:07:21:098 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
15:07:21:099 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
