12:45:14:244 [main] INFO  jaxb.CarJAXB - Model: X3
12:45:14:246 [main] INFO  jaxb.CarJAXB - Body type: SUV
12:45:14:247 [main] INFO  jaxb.CarJAXB - Production year: 2018
12:45:14:247 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
12:45:14:247 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
12:45:14:248 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
12:45:14:253 [main] INFO  jaxb.CarJAXB - Car info
12:45:14:253 [main] INFO  jaxb.CarJAXB - Vin: null
12:45:14:254 [main] INFO  jaxb.CarJAXB - Make: null
12:45:14:254 [main] INFO  jaxb.CarJAXB - Model: null
12:45:14:255 [main] INFO  jaxb.CarJAXB - Body type: null
12:45:14:255 [main] INFO  jaxb.CarJAXB - Production year: 0
12:45:14:255 [main] INFO  jaxb.CarJAXB - Engine capacity: null
12:45:14:262 [main] INFO  jaxb.CarJAXB - Fuel type: null
12:45:14:263 [main] INFO  jaxb.CarJAXB - Exterior color: null
12:45:14:278 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
12:45:14:278 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
