18:58:07:041 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
18:58:07:043 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
18:58:07:050 [main] INFO  jaxb.CarJAXB - Car info
18:58:07:050 [main] INFO  jaxb.CarJAXB - Vin: null
18:58:07:050 [main] INFO  jaxb.CarJAXB - Make: null
18:58:07:051 [main] INFO  jaxb.CarJAXB - Model: null
18:58:07:051 [main] INFO  jaxb.CarJAXB - Body type: null
18:58:07:051 [main] INFO  jaxb.CarJAXB - Production year: 0
18:58:07:051 [main] INFO  jaxb.CarJAXB - Engine capacity: null
18:58:07:051 [main] INFO  jaxb.CarJAXB - Fuel type: null
18:58:07:051 [main] INFO  jaxb.CarJAXB - Exterior color: null
18:58:07:070 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
18:58:07:078 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
18:58:07:078 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
18:58:07:078 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
18:58:07:092 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
