16:30:20:618 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
16:30:20:621 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
16:30:20:621 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
16:30:20:621 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
16:35:35:992 [main] INFO  jaxb.CarJAXB - Car info
16:35:35:994 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
16:35:35:995 [main] INFO  jaxb.CarJAXB - Make: BMW
16:35:35:995 [main] INFO  jaxb.CarJAXB - Model: X3
16:35:35:995 [main] INFO  jaxb.CarJAXB - Body type: SUV
16:35:35:995 [main] INFO  jaxb.CarJAXB - Production year: 2018
16:35:35:996 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
16:35:35:996 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
16:35:35:996 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
16:35:36:002 [main] INFO  jaxb.CarJAXB - Car info
16:35:36:002 [main] INFO  jaxb.CarJAXB - Vin: null
16:35:36:003 [main] INFO  jaxb.CarJAXB - Make: null
16:35:36:003 [main] INFO  jaxb.CarJAXB - Model: null
