14:50:42:874 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
14:50:42:877 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
14:50:42:877 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
14:50:42:877 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
14:50:42:892 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic info
14:50:42:893 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic ID: 1
14:50:42:894 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
14:50:42:894 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
14:50:42:910 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
14:50:42:910 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
14:50:42:910 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
14:50:42:911 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
14:50:42:911 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
14:50:42:927 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
14:50:42:927 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
