12:56:10:239 [main] INFO  main.Main - [Cashier [idCashier=1, idEmployees=2], Cashier [idCashier=2, idEmployees=7]]
12:56:10:608 [main] INFO  jaxb.CarJAXB - Car info
12:56:10:609 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
12:56:10:609 [main] INFO  jaxb.CarJAXB - Make: BMW
12:56:10:610 [main] INFO  jaxb.CarJAXB - Model: X3
12:56:10:610 [main] INFO  jaxb.CarJAXB - Body type: SUV
12:56:10:610 [main] INFO  jaxb.CarJAXB - Production year: 2018
12:56:10:611 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
12:56:10:611 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
12:56:10:611 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
12:56:10:617 [main] INFO  jaxb.CarJAXB - Car info
12:56:10:617 [main] INFO  jaxb.CarJAXB - Vin: null
12:56:10:618 [main] INFO  jaxb.CarJAXB - Make: null
12:56:10:618 [main] INFO  jaxb.CarJAXB - Model: null
12:56:10:620 [main] INFO  jaxb.CarJAXB - Body type: null
12:56:10:620 [main] INFO  jaxb.CarJAXB - Production year: 0
12:56:10:621 [main] INFO  jaxb.CarJAXB - Engine capacity: null
