15:40:27:795 [main] INFO  jaxb.CarJAXB - Make: BMW
15:40:27:800 [main] INFO  jaxb.CarJAXB - Model: X3
15:40:27:801 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:40:27:801 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:40:27:801 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:40:27:801 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:40:27:802 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:40:27:810 [main] INFO  jaxb.CarJAXB - Car info
15:40:27:810 [main] INFO  jaxb.CarJAXB - Vin: null
15:40:27:811 [main] INFO  jaxb.CarJAXB - Make: null
15:40:27:811 [main] INFO  jaxb.CarJAXB - Model: null
15:40:27:812 [main] INFO  jaxb.CarJAXB - Body type: null
15:40:27:812 [main] INFO  jaxb.CarJAXB - Production year: 0
15:40:27:812 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:40:27:812 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:40:27:813 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:40:27:832 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
