16:29:20:034 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
16:29:20:036 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
16:29:20:036 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
16:29:20:037 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
16:29:20:047 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician information:
16:29:20:048 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician ID: 1
16:29:20:048 [main] INFO  jaxb.AutomotiveElectricianJAXB - Car Service B ID: 1
16:29:20:048 [main] INFO  jaxb.AutomotiveElectricianJAXB - Employee ID: 3
16:29:20:060 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store info
16:29:20:060 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Automotive parts store ID1
16:29:20:061 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Cashier ID1
16:29:20:061 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Order ID1
16:29:20:061 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part warehouse ID1
16:29:20:061 [main] INFO  jaxb.AutomotivePartsStoreJAXB - Part ID3
