15:59:38:371 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:59:38:374 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:59:38:376 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:59:38:376 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:59:38:380 [main] INFO  jaxb.CarJAXB - Car info
15:59:38:381 [main] INFO  jaxb.CarJAXB - Vin: null
15:59:38:381 [main] INFO  jaxb.CarJAXB - Make: null
15:59:38:381 [main] INFO  jaxb.CarJAXB - Model: null
15:59:38:382 [main] INFO  jaxb.CarJAXB - Body type: null
15:59:38:382 [main] INFO  jaxb.CarJAXB - Production year: 0
15:59:38:382 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:59:38:382 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:59:38:382 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:59:38:397 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
15:59:38:398 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
15:59:38:398 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
