14:46:34:265 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
14:46:34:268 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
14:46:34:281 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
14:46:34:283 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
14:46:34:283 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
14:46:34:283 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
14:46:34:283 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
14:46:34:300 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
14:46:34:300 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
14:46:34:300 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
14:46:34:301 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
14:46:34:314 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
14:46:34:314 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
14:46:34:315 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
14:46:34:315 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
