12:15:21:235 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Diagnostic mechanic ID: 1
12:15:21:237 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service A ID: 1
12:15:21:237 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Employee ID3
12:15:21:251 [main] INFO  jaxb.CarServiceAJAXB - Car Service B info:
12:15:21:251 [main] INFO  jaxb.CarServiceAJAXB - Car service B ID: 1
12:15:21:251 [main] INFO  jaxb.CarServiceAJAXB - Car ID: 2
12:15:21:251 [main] INFO  jaxb.CarServiceAJAXB - Service type: Gearbox Replacement
12:15:21:260 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
12:15:21:260 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
12:15:21:261 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
12:15:21:262 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
12:15:21:268 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician information:
12:15:21:268 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician ID: 1
12:15:21:268 [main] INFO  jaxb.AutomotiveElectricianJAXB - Car Service B ID: 1
