16:07:06:089 [main] INFO  jaxb.CarJAXB - Make: BMW
16:07:06:111 [main] INFO  jaxb.CarJAXB - Model: X3
16:07:06:112 [main] INFO  jaxb.CarJAXB - Body type: SUV
16:07:06:112 [main] INFO  jaxb.CarJAXB - Production year: 2018
16:07:06:112 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
16:07:06:113 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
16:07:06:113 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
16:07:06:119 [main] INFO  jaxb.CarJAXB - Car info
16:07:06:119 [main] INFO  jaxb.CarJAXB - Vin: null
16:07:06:119 [main] INFO  jaxb.CarJAXB - Make: null
16:07:06:119 [main] INFO  jaxb.CarJAXB - Model: null
16:07:06:120 [main] INFO  jaxb.CarJAXB - Body type: null
16:07:06:120 [main] INFO  jaxb.CarJAXB - Production year: 0
16:07:06:120 [main] INFO  jaxb.CarJAXB - Engine capacity: null
16:07:06:120 [main] INFO  jaxb.CarJAXB - Fuel type: null
16:07:06:121 [main] INFO  jaxb.CarJAXB - Exterior color: null
16:07:06:139 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
