18:55:39:065 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
18:55:39:068 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
18:55:39:068 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
18:55:39:068 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
18:55:39:068 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
18:55:39:068 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
18:55:39:069 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
18:55:39:069 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
18:55:39:080 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic info
18:55:39:080 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic ID: 1
18:55:39:080 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
18:55:39:081 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
18:55:39:093 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
18:55:39:093 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
