16:15:19:188 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
16:15:19:191 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
16:15:19:191 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
16:15:19:192 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
16:15:19:205 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
16:15:19:218 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
16:15:19:218 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
16:15:19:219 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
16:15:19:219 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
16:15:19:220 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
16:15:19:220 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
16:15:19:220 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
16:15:19:220 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
