15:19:16:816 [main] INFO  jaxb.CarJAXB - Make: BMW
15:19:16:820 [main] INFO  jaxb.CarJAXB - Model: X3
15:19:16:820 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:19:16:821 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:19:16:821 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:19:16:821 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:19:16:821 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:19:16:827 [main] INFO  jaxb.CarJAXB - Car info
15:19:16:827 [main] INFO  jaxb.CarJAXB - Vin: null
15:19:16:827 [main] INFO  jaxb.CarJAXB - Make: null
15:19:16:827 [main] INFO  jaxb.CarJAXB - Model: null
15:19:16:828 [main] INFO  jaxb.CarJAXB - Body type: null
15:19:16:828 [main] INFO  jaxb.CarJAXB - Production year: 0
15:19:16:828 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:19:16:828 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:19:16:829 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:19:16:843 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
