19:02:58:742 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
19:02:58:744 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
19:02:58:754 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic info
19:02:58:754 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic ID: 1
19:02:58:754 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
19:02:58:754 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
19:02:58:762 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
19:02:58:763 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
19:02:58:764 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
19:02:58:764 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
19:02:58:764 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
19:02:58:815 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
19:02:58:816 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
19:02:58:816 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
19:02:58:816 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
