18:02:31:245 [main] INFO  jaxb.CarJAXB - Make: BMW
18:02:31:252 [main] INFO  jaxb.CarJAXB - Model: X3
18:02:31:252 [main] INFO  jaxb.CarJAXB - Body type: SUV
18:02:31:252 [main] INFO  jaxb.CarJAXB - Production year: 2018
18:02:31:253 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
18:02:31:253 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
18:02:31:254 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
18:02:31:262 [main] INFO  jaxb.CarJAXB - Car info
18:02:31:263 [main] INFO  jaxb.CarJAXB - Vin: null
18:02:31:264 [main] INFO  jaxb.CarJAXB - Make: null
18:02:31:266 [main] INFO  jaxb.CarJAXB - Model: null
18:02:31:266 [main] INFO  jaxb.CarJAXB - Body type: null
18:02:31:266 [main] INFO  jaxb.CarJAXB - Production year: 0
18:02:31:267 [main] INFO  jaxb.CarJAXB - Engine capacity: null
18:02:31:267 [main] INFO  jaxb.CarJAXB - Fuel type: null
18:02:31:267 [main] INFO  jaxb.CarJAXB - Exterior color: null
18:02:31:282 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
