18:20:53:120 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
18:20:53:123 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
18:20:53:131 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic info
18:20:53:132 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic ID: 1
18:20:53:132 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
18:20:53:132 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
18:20:53:141 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
18:20:53:141 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
18:20:53:143 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
18:20:53:143 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
18:20:53:143 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
18:20:53:153 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
18:20:53:153 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
18:20:53:153 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
18:20:53:154 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
