15:21:21:918 [main] DEBUG org.apache.ibatis.transaction.jdbc.JdbcTransaction - Closing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@6058e535]
15:21:21:920 [main] DEBUG org.apache.ibatis.datasource.pooled.PooledDataSource - Returned connection 1616438581 to pool.
15:21:21:920 [main] INFO  main.Main - --- JACKSON ---
15:21:22:256 [main] INFO  jaxb.CarJAXB - Car info
15:21:22:256 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
15:21:22:256 [main] INFO  jaxb.CarJAXB - Make: BMW
15:21:22:256 [main] INFO  jaxb.CarJAXB - Model: X3
15:21:22:256 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:21:22:257 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:21:22:257 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:21:22:257 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:21:22:265 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:21:22:269 [main] INFO  jaxb.CarJAXB - Car info
15:21:22:269 [main] INFO  jaxb.CarJAXB - Vin: null
15:21:22:271 [main] INFO  jaxb.CarJAXB - Make: null
15:21:22:271 [main] INFO  jaxb.CarJAXB - Model: null
