15:40:47:806 [main] INFO  jaxb.CarJAXB - Model: X3
15:40:47:811 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:40:47:811 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:40:47:812 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:40:47:812 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:40:47:812 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:40:47:817 [main] INFO  jaxb.CarJAXB - Car info
15:40:47:818 [main] INFO  jaxb.CarJAXB - Vin: null
15:40:47:818 [main] INFO  jaxb.CarJAXB - Make: null
15:40:47:819 [main] INFO  jaxb.CarJAXB - Model: null
15:40:47:819 [main] INFO  jaxb.CarJAXB - Body type: null
15:40:47:819 [main] INFO  jaxb.CarJAXB - Production year: 0
15:40:47:819 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:40:47:820 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:40:47:820 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:40:47:840 [main] INFO  model.AutomotivePartsStoreOrders - Automotive Parts Store order information
15:40:47:840 [main] INFO  model.AutomotivePartsStoreOrders - Customer ID: 1
