16:29:46:301 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
16:29:46:304 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
16:29:46:304 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
16:29:46:305 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
16:29:46:317 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
16:29:46:330 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
16:29:46:330 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
16:29:46:331 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
16:29:46:331 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
16:29:46:331 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
16:29:46:332 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
16:29:46:332 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
16:29:46:332 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
