15:59:27:445 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
15:59:27:448 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
15:59:27:449 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
15:59:27:461 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
15:59:27:461 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
15:59:27:461 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
15:59:27:462 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
15:59:27:470 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
15:59:27:470 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
15:59:27:471 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
15:59:27:471 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
15:59:38:367 [main] INFO  jaxb.CarJAXB - Car info
15:59:38:370 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
15:59:38:370 [main] INFO  jaxb.CarJAXB - Make: BMW
15:59:38:371 [main] INFO  jaxb.CarJAXB - Model: X3
15:59:38:371 [main] INFO  jaxb.CarJAXB - Body type: SUV
