16:09:39:148 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
16:09:39:151 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
16:09:39:151 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
16:09:39:151 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
16:09:39:164 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
16:09:39:176 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
16:09:39:176 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
16:09:39:177 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
16:09:39:177 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
16:09:39:177 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
16:09:39:178 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
16:09:39:178 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
16:09:39:179 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
