18:38:36:293 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
18:38:36:295 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
18:38:36:295 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
18:38:36:297 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
18:38:36:297 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
18:38:36:297 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
18:38:36:297 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
18:38:36:297 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
18:38:36:309 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic info
18:38:36:310 [main] INFO  jaxb.GearboxMechanicJAXB - Gearbox mechanic ID: 1
18:38:36:310 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
18:38:36:311 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
18:38:36:327 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
18:38:36:327 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
