15:29:43:611 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
15:29:43:615 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
15:29:43:615 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
15:29:43:615 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
15:29:43:629 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
15:29:43:641 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
15:29:43:641 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
15:29:43:642 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
15:29:43:643 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
15:29:43:643 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
15:29:43:644 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
15:29:43:644 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
15:29:43:644 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
