16:19:57:445 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
16:19:57:448 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
16:19:57:461 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
16:19:57:461 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
16:19:57:461 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
16:19:57:461 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
16:21:15:562 [main] INFO  jaxb.CarJAXB - Car info
16:21:15:564 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
16:21:15:565 [main] INFO  jaxb.CarJAXB - Make: BMW
16:21:15:565 [main] INFO  jaxb.CarJAXB - Model: X3
16:21:15:566 [main] INFO  jaxb.CarJAXB - Body type: SUV
16:21:15:566 [main] INFO  jaxb.CarJAXB - Production year: 2018
16:21:15:566 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
16:21:15:566 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
16:21:15:566 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
16:21:15:572 [main] INFO  jaxb.CarJAXB - Car info
16:21:15:572 [main] INFO  jaxb.CarJAXB - Vin: null
