18:36:40:021 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
18:36:40:025 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
18:36:40:032 [main] INFO  jaxb.CarJAXB - Car info
18:36:40:033 [main] INFO  jaxb.CarJAXB - Vin: null
18:36:40:033 [main] INFO  jaxb.CarJAXB - Make: null
18:36:40:033 [main] INFO  jaxb.CarJAXB - Model: null
18:36:40:033 [main] INFO  jaxb.CarJAXB - Body type: null
18:36:40:034 [main] INFO  jaxb.CarJAXB - Production year: 0
18:36:40:034 [main] INFO  jaxb.CarJAXB - Engine capacity: null
18:36:40:034 [main] INFO  jaxb.CarJAXB - Fuel type: null
18:36:40:034 [main] INFO  jaxb.CarJAXB - Exterior color: null
18:36:40:049 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
18:36:40:049 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
18:36:40:050 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
18:36:40:050 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
18:36:40:065 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
