12:12:57:817 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Diagnostic mechanic ID: 1
12:12:57:819 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service A ID: 1
12:12:57:819 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Employee ID3
12:12:57:826 [main] INFO  jaxb.CarServiceAJAXB - Car Service B info:
12:12:57:827 [main] INFO  jaxb.CarServiceAJAXB - Car service B ID: 1
12:12:57:827 [main] INFO  jaxb.CarServiceAJAXB - Car ID: 2
12:12:57:827 [main] INFO  jaxb.CarServiceAJAXB - Service type: Gearbox Replacement
12:12:57:836 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
12:12:57:837 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
12:12:57:837 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
12:12:57:837 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
12:12:57:849 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician information:
12:12:57:849 [main] INFO  jaxb.AutomotiveElectricianJAXB - Automotive Electrician ID: 1
12:12:57:849 [main] INFO  jaxb.AutomotiveElectricianJAXB - Car Service B ID: 1
