15:22:39:490 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:22:39:495 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:22:39:495 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:22:39:495 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:22:39:501 [main] INFO  jaxb.CarJAXB - Car info
15:22:39:501 [main] INFO  jaxb.CarJAXB - Vin: null
15:22:39:501 [main] INFO  jaxb.CarJAXB - Make: null
15:22:39:502 [main] INFO  jaxb.CarJAXB - Model: null
15:22:39:502 [main] INFO  jaxb.CarJAXB - Body type: null
15:22:39:502 [main] INFO  jaxb.CarJAXB - Production year: 0
15:22:39:502 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:22:39:502 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:22:39:503 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:22:39:518 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
15:22:39:518 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
15:22:39:519 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
