16:29:19:910 [main] INFO  jaxb.CarJAXB - Model: X3
16:29:19:912 [main] INFO  jaxb.CarJAXB - Body type: SUV
16:29:19:912 [main] INFO  jaxb.CarJAXB - Production year: 2018
16:29:19:912 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
16:29:19:913 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
16:29:19:913 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
16:29:19:918 [main] INFO  jaxb.CarJAXB - Car info
16:29:19:918 [main] INFO  jaxb.CarJAXB - Vin: null
16:29:19:918 [main] INFO  jaxb.CarJAXB - Make: null
16:29:19:919 [main] INFO  jaxb.CarJAXB - Model: null
16:29:19:919 [main] INFO  jaxb.CarJAXB - Body type: null
16:29:19:919 [main] INFO  jaxb.CarJAXB - Production year: 0
16:29:19:919 [main] INFO  jaxb.CarJAXB - Engine capacity: null
16:29:19:920 [main] INFO  jaxb.CarJAXB - Fuel type: null
16:29:19:920 [main] INFO  jaxb.CarJAXB - Exterior color: null
16:29:19:931 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
16:29:19:931 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
