18:02:31:320 [main] INFO  jaxb.GearboxMechanicJAXB - Car Service B ID: 1
18:02:31:322 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
18:02:31:330 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
18:02:31:330 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
18:02:31:331 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
18:02:31:331 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
18:02:31:331 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
18:02:31:341 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
18:02:31:341 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
18:02:31:341 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
18:02:31:341 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
18:02:31:349 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
18:02:31:349 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
18:02:31:349 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
18:02:31:349 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
