16:18:51:082 [main] INFO  jaxb.CarJAXB - Engine capacity: null
16:18:51:087 [main] INFO  jaxb.CarJAXB - Fuel type: null
16:18:51:087 [main] INFO  jaxb.CarJAXB - Exterior color: null
16:18:51:102 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
16:18:51:102 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
16:18:51:103 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
16:18:51:103 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
16:18:51:116 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
16:18:51:126 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
16:18:51:126 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
16:18:51:127 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
16:18:51:127 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
16:18:51:127 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
16:18:51:127 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
