15:24:57:465 [main] INFO  jaxb.CarJAXB - Make: BMW
15:24:57:470 [main] INFO  jaxb.CarJAXB - Model: X3
15:24:57:470 [main] INFO  jaxb.CarJAXB - Body type: SUV
15:24:57:471 [main] INFO  jaxb.CarJAXB - Production year: 2018
15:24:57:471 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
15:24:57:471 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
15:24:57:471 [main] INFO  jaxb.CarJAXB - Exterior color: Alpine White
15:24:57:478 [main] INFO  jaxb.CarJAXB - Car info
15:24:57:479 [main] INFO  jaxb.CarJAXB - Vin: null
15:24:57:479 [main] INFO  jaxb.CarJAXB - Make: null
15:24:57:479 [main] INFO  jaxb.CarJAXB - Model: null
15:24:57:479 [main] INFO  jaxb.CarJAXB - Body type: null
15:24:57:480 [main] INFO  jaxb.CarJAXB - Production year: 0
15:24:57:480 [main] INFO  jaxb.CarJAXB - Engine capacity: null
15:24:57:480 [main] INFO  jaxb.CarJAXB - Fuel type: null
15:24:57:480 [main] INFO  jaxb.CarJAXB - Exterior color: null
15:24:57:495 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
