16:23:28:502 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
16:23:28:504 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
16:23:28:505 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
16:23:28:505 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
16:23:28:517 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
16:23:28:527 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
16:23:28:528 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
16:23:28:528 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
16:23:28:528 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
16:23:28:529 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
16:23:28:529 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
16:23:28:529 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
16:23:28:529 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
