16:13:46:189 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Automotive Parts Store order information
16:13:46:191 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Customer ID: 1
16:13:46:191 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - AutomotivePartsStore ID: 1
16:13:46:192 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order ID: 1
16:13:46:204 [main] INFO  jaxb.AutomotivePartsStoreOrdersJAXB - Order Date: Thu Jan 01 00:00:00 GET 1970
16:13:46:224 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse info
16:13:46:224 [main] INFO  jaxb.PartWarehouseJAXB - Part warehouse ID : 1
16:13:46:225 [main] INFO  jaxb.PartWarehouseJAXB - Part ID: 1
16:13:46:225 [main] INFO  jaxb.PartWarehouseJAXB - Part name: Valve cover gasket
16:13:46:225 [main] INFO  jaxb.PartWarehouseJAXB - Part number: b32sCx100
16:13:46:226 [main] INFO  jaxb.PartWarehouseJAXB - Part quantity: 3
16:13:46:226 [main] INFO  jaxb.PartWarehouseJAXB - Part producer: Mahle
16:13:46:226 [main] INFO  jaxb.PartWarehouseJAXB - Part name: 2021
