12:45:14:320 [main] INFO  jaxb.GearboxMechanicJAXB - Employee ID: 9
12:45:14:334 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store info
12:45:14:334 [main] INFO  jaxb.EnginePartsStoreJAXB - Engine parts store ID1
12:45:14:335 [main] INFO  jaxb.EnginePartsStoreJAXB - Cashier ID1
12:45:14:335 [main] INFO  jaxb.EnginePartsStoreJAXB - Part warehouse ID1
12:45:14:335 [main] INFO  jaxb.EnginePartsStoreJAXB - Part ID3
12:45:14:344 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car Service B info:
12:45:14:344 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car service B ID: 1
12:45:14:344 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Car ID: 1
12:45:14:344 [main] INFO  jaxb.DiagnosticsMechanicJAXB - Service type: 3
12:45:14:352 [main] INFO  jaxb.CarServiceBJAXB - Car Service B info:
12:45:14:353 [main] INFO  jaxb.CarServiceBJAXB - Car service B ID: 1
12:45:14:353 [main] INFO  jaxb.CarServiceBJAXB - Car ID: 2
12:45:14:354 [main] INFO  jaxb.CarServiceBJAXB - Service type: Engine Replacement
12:50:41:906 [main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.log4j2.Log4j2Impl' adapter.
